language,algorithm,size,run,joules,checksum
javascript,merge_sort,large,1,2.625365599989891,1000000
javascript,merge_sort,large,2,2.615155679988675,1000000
javascript,merge_sort,large,3,3.148805160206393,1000000
javascript,merge_sort,large,4,3.5800982695684067,1000000
javascript,merge_sort,large,5,3.4554650394420605,1000000
javascript,merge_sort,large,6,3.4535283005374366,1000000
javascript,merge_sort,large,7,3.544715520305908,1000000
javascript,merge_sort,large,8,3.5071267200881264,1000000
javascript,merge_sort,large,9,3.529846170483506,1000000
javascript,merge_sort,large,10,3.479788889546762,1000000
javascript,merge_sort,large,11,3.7092304401914586,1000000
javascript,merge_sort,large,12,4.01377785004297,1000000
javascript,merge_sort,large,13,3.8583933505724417,1000000
javascript,merge_sort,large,14,3.791864400365739,1000000
javascript,merge_sort,large,15,4.013612750633911,1000000
javascript,merge_sort,large,16,3.8663626002671663,1000000
javascript,merge_sort,large,17,4.001376299864205,1000000
javascript,merge_sort,large,18,3.8921753499962506,1000000
javascript,merge_sort,large,19,4.13175911991857,1000000
javascript,merge_sort,large,20,4.268096490636526,1000000
javascript,merge_sort,large,21,4.387494090138352,1000000
javascript,merge_sort,large,22,4.477280219740351,1000000
javascript,merge_sort,large,23,4.300635219743707,1000000
javascript,merge_sort,large,24,4.345221860359015,1000000
javascript,merge_sort,large,25,4.5368564501317445,1000000
javascript,merge_sort,large,26,4.420068869520037,1000000
javascript,merge_sort,large,27,3.4708563794803924,1000000
javascript,merge_sort,large,28,3.3564040201265017,1000000
javascript,merge_sort,large,29,3.3242261298917586,1000000
javascript,merge_sort,large,30,3.3416992200116513,1000000
javascript,merge_sort,large,31,3.4727836003759878,1000000
javascript,merge_sort,large,32,3.440990039825556,1000000
javascript,merge_sort,large,33,3.3954775693724515,1000000
javascript,merge_sort,large,34,3.6783388804193238,1000000
javascript,merge_sort,large,35,3.0817177596705734,1000000
javascript,merge_sort,large,36,3.0173212002235235,1000000
javascript,merge_sort,large,37,3.343515780309099,1000000
javascript,merge_sort,large,38,2.9602990199491614,1000000
javascript,merge_sort,large,39,2.9707456398697105,1000000
javascript,merge_sort,large,40,3.125959020512528,1000000
javascript,merge_sort,large,41,3.1664252396381927,1000000
javascript,merge_sort,large,42,3.1818667596060553,1000000
javascript,merge_sort,large,43,2.7896004501744756,1000000
javascript,merge_sort,large,44,2.729499500055681,1000000
javascript,merge_sort,large,45,2.784777449865942,1000000
javascript,merge_sort,large,46,2.847162500162085,1000000
javascript,merge_sort,large,47,2.808601249853382,1000000
javascript,merge_sort,large,48,2.76878419991408,1000000
javascript,merge_sort,large,49,2.8355054001222015,1000000
javascript,merge_sort,large,50,2.947407645230851,1000000
java,matrix_multiplication,large,1,4.463153450381651,10291750
java,matrix_multiplication,large,2,4.850966540076479,10291750
java,matrix_multiplication,large,3,5.206782559715793,10291750
java,matrix_multiplication,large,4,4.8732653199316704,10291750
java,matrix_multiplication,large,5,5.094527549717168,10291750
java,matrix_multiplication,large,6,5.054095760444762,10291750
java,matrix_multiplication,large,7,4.93230072966835,10291750
java,matrix_multiplication,large,8,4.080032399404445,10291750
java,matrix_multiplication,large,9,3.959966199588962,10291750
java,matrix_multiplication,large,10,3.929829799919389,10291750
java,matrix_multiplication,large,11,3.9145124995557126,10291750
java,matrix_multiplication,large,12,4.043231400282821,10291750
java,matrix_multiplication,large,13,3.947299700259464,10291750
java,matrix_multiplication,large,14,4.028142720145115,10291750
java,matrix_multiplication,large,15,3.8960343198850755,10291750
java,matrix_multiplication,large,16,4.112451040034649,10291750
java,matrix_multiplication,large,17,4.140048880001996,10291750
java,matrix_multiplication,large,18,4.021090720151551,10291750
java,matrix_multiplication,large,19,3.9541611194727015,10291750
java,matrix_multiplication,large,20,3.973215759638697,10291750
java,matrix_multiplication,large,21,4.1601381602638865,10291750
java,matrix_multiplication,large,22,4.588003379876318,10291750
java,matrix_multiplication,large,23,4.200906090438366,10291750
java,matrix_multiplication,large,24,4.397757930048101,10291750
java,matrix_multiplication,large,25,4.2049403398472345,10291750
java,matrix_multiplication,large,26,4.132284720227472,10291750
java,matrix_multiplication,large,27,4.1127133951828005,10291750
java,matrix_multiplication,large,28,3.6727633003756637,10291750
java,matrix_multiplication,large,29,3.664632000407437,10291750
